,param,subj,roi,bold,hemi,region,network
255,rt,pc08,rh.yeo17_pcc,14.664270401000977,rh,pcc,med
256,rt,pc10,lh.yeo17_ifs,17.17168617248535,lh,ifs,lat
257,rt,pc10,rh.yeo17_ifs,20.958070755004883,rh,ifs,lat
258,rt,pc10,lh.yeo17_ips,32.25580596923828,lh,ips,lat
259,rt,pc10,rh.yeo17_ips,26.950336456298828,rh,ips,lat
260,rt,pc10,lh.yeo17_mspl,18.380998611450195,lh,mspl,med
261,rt,pc10,rh.yeo17_mspl,18.109365463256836,rh,mspl,med
262,rt,pc10,lh.yeo17_pcc,13.635237693786621,lh,pcc,med
263,rt,pc10,rh.yeo17_pcc,9.14185905456543,rh,pcc,med
264,rt,pc11,lh.yeo17_ifs,86.9677505493164,lh,ifs,lat
265,rt,pc11,rh.yeo17_ifs,64.17127990722656,rh,ifs,lat
266,rt,pc11,lh.yeo17_ips,91.77344512939453,lh,ips,lat
267,rt,pc11,rh.yeo17_ips,53.767967224121094,rh,ips,lat
268,rt,pc11,lh.yeo17_mspl,53.36194610595703,lh,mspl,med
269,rt,pc11,rh.yeo17_mspl,35.20804977416992,rh,mspl,med
270,rt,pc11,lh.yeo17_pcc,3.327275514602661,lh,pcc,med
271,rt,pc11,rh.yeo17_pcc,-16.763444900512695,rh,pcc,med
272,rt,pc12,lh.yeo17_ifs,1.3236838579177856,lh,ifs,lat
273,rt,pc12,rh.yeo17_ifs,-0.7141404747962952,rh,ifs,lat
274,rt,pc12,lh.yeo17_ips,-11.197299003601074,lh,ips,lat
275,rt,pc12,rh.yeo17_ips,4.221777439117432,rh,ips,lat
276,rt,pc12,lh.yeo17_mspl,-0.5077954530715942,lh,mspl,med
277,rt,pc12,rh.yeo17_mspl,-12.262887954711914,rh,mspl,med
278,rt,pc12,lh.yeo17_pcc,-19.059371948242188,lh,pcc,med
279,rt,pc12,rh.yeo17_pcc,-23.515575408935547,rh,pcc,med
280,rt,pc13,lh.yeo17_ifs,112.14360046386719,lh,ifs,lat
281,rt,pc13,rh.yeo17_ifs,24.9337100982666,rh,ifs,lat
282,rt,pc13,lh.yeo17_ips,161.37615966796875,lh,ips,lat
283,rt,pc13,rh.yeo17_ips,35.559967041015625,rh,ips,lat
284,rt,pc13,lh.yeo17_mspl,13.981304168701172,lh,mspl,med
285,rt,pc13,rh.yeo17_mspl,4.440165996551514,rh,mspl,med
286,rt,pc13,lh.yeo17_pcc,26.7740535736084,lh,pcc,med
287,rt,pc13,rh.yeo17_pcc,12.377165794372559,rh,pcc,med
288,rt,pc14,lh.yeo17_ifs,43.6558952331543,lh,ifs,lat
289,rt,pc14,rh.yeo17_ifs,-21.443559646606445,rh,ifs,lat
290,rt,pc14,lh.yeo17_ips,51.93595886230469,lh,ips,lat
291,rt,pc14,rh.yeo17_ips,-30.64091682434082,rh,ips,lat
292,rt,pc14,lh.yeo17_mspl,67.83583068847656,lh,mspl,med
293,rt,pc14,rh.yeo17_mspl,-8.332372665405273,rh,mspl,med
294,rt,pc14,lh.yeo17_pcc,-50.28165054321289,lh,pcc,med
295,rt,pc14,rh.yeo17_pcc,-54.9638786315918,rh,pcc,med
296,rt,pc15,lh.yeo17_ifs,68.79922485351562,lh,ifs,lat
297,rt,pc15,rh.yeo17_ifs,35.00177764892578,rh,ifs,lat
298,rt,pc15,lh.yeo17_ips,59.1285285949707,lh,ips,lat
299,rt,pc15,rh.yeo17_ips,49.8338508605957,rh,ips,lat
300,rt,pc15,lh.yeo17_mspl,77.68431091308594,lh,mspl,med
301,rt,pc15,rh.yeo17_mspl,58.989742279052734,rh,mspl,med
302,rt,pc15,lh.yeo17_pcc,41.08513641357422,lh,pcc,med
303,rt,pc15,rh.yeo17_pcc,42.79572296142578,rh,pcc,med
304,rt,pc16,lh.yeo17_ifs,69.63721466064453,lh,ifs,lat
305,rt,pc16,rh.yeo17_ifs,30.644628524780273,rh,ifs,lat
306,rt,pc16,lh.yeo17_ips,57.02954864501953,lh,ips,lat
307,rt,pc16,rh.yeo17_ips,-1.6666882038116455,rh,ips,lat
308,rt,pc16,lh.yeo17_mspl,68.48512268066406,lh,mspl,med
309,rt,pc16,rh.yeo17_mspl,13.083050727844238,rh,mspl,med
310,rt,pc16,lh.yeo17_pcc,7.586416721343994,lh,pcc,med
311,rt,pc16,rh.yeo17_pcc,20.33725357055664,rh,pcc,med
312,rt,pc17,lh.yeo17_ifs,3.9198405742645264,lh,ifs,lat
313,rt,pc17,rh.yeo17_ifs,-21.587661743164062,rh,ifs,lat
314,rt,pc17,lh.yeo17_ips,-7.89970064163208,lh,ips,lat
315,rt,pc17,rh.yeo17_ips,-33.889530181884766,rh,ips,lat
316,rt,pc17,lh.yeo17_mspl,4.994480609893799,lh,mspl,med
317,rt,pc17,rh.yeo17_mspl,-7.874519348144531,rh,mspl,med
318,rt,pc17,lh.yeo17_pcc,-5.313343048095703,lh,pcc,med
319,rt,pc17,rh.yeo17_pcc,-18.95285987854004,rh,pcc,med
320,rt,pc18,lh.yeo17_ifs,52.860477447509766,lh,ifs,lat
321,rt,pc18,rh.yeo17_ifs,16.835857391357422,rh,ifs,lat
322,rt,pc18,lh.yeo17_ips,31.904436111450195,lh,ips,lat
323,rt,pc18,rh.yeo17_ips,18.669403076171875,rh,ips,lat
324,rt,pc18,lh.yeo17_mspl,42.492244720458984,lh,mspl,med
325,rt,pc18,rh.yeo17_mspl,32.97126007080078,rh,mspl,med
326,rt,pc18,lh.yeo17_pcc,14.87694263458252,lh,pcc,med
327,rt,pc18,rh.yeo17_pcc,23.00296974182129,rh,pcc,med
328,rt,pc19,lh.yeo17_ifs,29.75230598449707,lh,ifs,lat
329,rt,pc19,rh.yeo17_ifs,8.03471851348877,rh,ifs,lat
330,rt,pc19,lh.yeo17_ips,20.758432388305664,lh,ips,lat
331,rt,pc19,rh.yeo17_ips,15.060626983642578,rh,ips,lat
332,rt,pc19,lh.yeo17_mspl,21.005327224731445,lh,mspl,med
333,rt,pc19,rh.yeo17_mspl,17.083154678344727,rh,mspl,med
334,rt,pc19,lh.yeo17_pcc,6.413149356842041,lh,pcc,med
335,rt,pc19,rh.yeo17_pcc,3.177563428878784,rh,pcc,med
336,rt,pc22,lh.yeo17_ifs,85.2891845703125,lh,ifs,lat
337,rt,pc22,rh.yeo17_ifs,45.88496017456055,rh,ifs,lat
338,rt,pc22,lh.yeo17_ips,54.99589538574219,lh,ips,lat
339,rt,pc22,rh.yeo17_ips,28.623680114746094,rh,ips,lat
340,rt,pc22,lh.yeo17_mspl,69.13131713867188,lh,mspl,med
341,rt,pc22,rh.yeo17_mspl,34.55344772338867,rh,mspl,med
342,rt,pc22,lh.yeo17_pcc,23.931964874267578,lh,pcc,med
343,rt,pc22,rh.yeo17_pcc,17.86798095703125,rh,pcc,med
344,rt,pc23,lh.yeo17_ifs,46.59894943237305,lh,ifs,lat
345,rt,pc23,rh.yeo17_ifs,34.10725021362305,rh,ifs,lat
346,rt,pc23,lh.yeo17_ips,46.76027297973633,lh,ips,lat
347,rt,pc23,rh.yeo17_ips,48.161800384521484,rh,ips,lat
348,rt,pc23,lh.yeo17_mspl,45.69685363769531,lh,mspl,med
